frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"66","04:54:27.101114","66","1","10.1.1.1","5200","0.008721000","0","59406","5201","0.010751000"
"67","04:54:27.101220","23234","110086","10.1.1.2","5201","0.008827000","23168","1","5200","0.010857000"
"68","04:54:27.101354","66","1","10.1.1.1","5200","0.008961000","0","60854","5201","0.010991000"
"69","04:54:27.101384","66","1","10.1.1.1","5200","0.008991000","0","62302","5201","0.011021000"
"70","04:54:27.101597","66","1","10.1.1.1","5200","0.009204000","0","63750","5201","0.011234000"
"71","04:54:27.101606","8754","133254","10.1.1.2","5201","0.009213000","8688","1","5200","0.011243000"
"72","04:54:27.101672","66","1","10.1.1.1","5200","0.009279000","0","65198","5201","0.011309000"
"73","04:54:27.101849","66","1","10.1.1.1","5200","0.009456000","0","68094","5201","0.011486000"
"74","04:54:27.102067","66","1","10.1.1.1","5200","0.009674000","0","69542","5201","0.011704000"
"75","04:54:27.102164","66","1","10.1.1.1","5200","0.009771000","0","70990","5201","0.011801000"
"76","04:54:27.102336","66","1","10.1.1.1","5200","0.009943000","0","72438","5201","0.011973000"
"77","04:54:27.102426","66","1","10.1.1.1","5200","0.010033000","0","73886","5201","0.012063000"
"78","04:54:27.102590","66","1","10.1.1.1","5200","0.010197000","0","76782","5201","0.012227000"
"79","04:54:27.102803","66","1","10.1.1.1","5200","0.010410000","0","78230","5201","0.012440000"
"80","04:54:27.102812","29026","141942","10.1.1.2","5201","0.010419000","28960","1","5200","0.012449000"
"81","04:54:27.102899","66","1","10.1.1.1","5200","0.010506000","0","79678","5201","0.012536000"
"82","04:54:27.102905","2962","170902","10.1.1.2","5201","0.010512000","2896","1","5200","0.012542000"
"83","04:54:27.103064","66","1","10.1.1.1","5200","0.010671000","0","81126","5201","0.012701000"
"84","04:54:27.103126","66","1","10.1.1.1","5200","0.010733000","0","82574","5201","0.012763000"
"85","04:54:27.103328","66","1","10.1.1.1","5200","0.010935000","0","85470","5201","0.012965000"
"86","04:54:27.103530","66","1","10.1.1.1","5200","0.011137000","0","86918","5201","0.013167000"
"87","04:54:27.103593","66","1","10.1.1.1","5200","0.011200000","0","88366","5201","0.013230000"
"88","04:54:27.103807","66","1","10.1.1.1","5200","0.011414000","0","89814","5201","0.013444000"
"89","04:54:27.103862","66","1","10.1.1.1","5200","0.011469000","0","91262","5201","0.013499000"
"90","04:54:27.104061","66","1","10.1.1.1","5200","0.011668000","0","94158","5201","0.013698000"
"91","04:54:27.104067","29026","173798","10.1.1.2","5201","0.011674000","28960","1","5200","0.013704000"
"92","04:54:27.104275","66","1","10.1.1.1","5200","0.011882000","0","95606","5201","0.013912000"
"93","04:54:27.104285","2962","202758","10.1.1.2","5201","0.011892000","2896","1","5200","0.013922000"
"94","04:54:27.104336","66","1","10.1.1.1","5200","0.011943000","0","97054","5201","0.013973000"
"95","04:54:27.104475","66","1","10.1.1.1","5200","0.012082000","0","98502","5201","0.014112000"
"96","04:54:27.104533","66","1","10.1.1.1","5200","0.012140000","0","99950","5201","0.014170000"
"97","04:54:27.104743","66","1","10.1.1.1","5200","0.012350000","0","101398","5201","0.014380000"
"98","04:54:27.104775","66","1","10.1.1.1","5200","0.012382000","0","102846","5201","0.014412000"
"99","04:54:27.105025","66","1","10.1.1.1","5200","0.012632000","0","104294","5201","0.014662000"
"100","04:54:27.105079","66","1","10.1.1.1","5200","0.012686000","0","105742","5201","0.014716000"
"101","04:54:27.105217","66","1","10.1.1.1","5200","0.012824000","0","107190","5201","0.014854000"
"102","04:54:27.105283","66","1","10.1.1.1","5200","0.012890000","0","108638","5201","0.014920000"
"103","04:54:27.105289","26130","205654","10.1.1.2","5201","0.012896000","26064","1","5200","0.014926000"
"104","04:54:27.105495","66","1","10.1.1.1","5200","0.013102000","0","110086","5201","0.015132000"
"105","04:54:27.105516","66","1","10.1.1.1","5200","0.013123000","0","111534","5201","0.015153000"
"106","04:54:27.105526","5858","231718","10.1.1.2","5201","0.013133000","5792","1","5200","0.015163000"
"107","04:54:27.105756","66","1","10.1.1.1","5200","0.013363000","0","112982","5201","0.015393000"
"108","04:54:27.105808","66","1","10.1.1.1","5200","0.013415000","0","114430","5201","0.015445000"
"109","04:54:27.105956","66","1","10.1.1.1","5200","0.013563000","0","115878","5201","0.015593000"
"110","04:54:27.106014","66","1","10.1.1.1","5200","0.013621000","0","117326","5201","0.015651000"
"111","04:54:27.106226","66","1","10.1.1.1","5200","0.013833000","0","118774","5201","0.015863000"
"112","04:54:27.106241","66","1","10.1.1.1","5200","0.013848000","0","120222","5201","0.015878000"
"113","04:54:27.106501","66","1","10.1.1.1","5200","0.014108000","0","121670","5201","0.016138000"
"114","04:54:27.106578","66","1","10.1.1.1","5200","0.014185000","0","123118","5201","0.016215000"
"115","04:54:27.106583","23234","237510","10.1.1.2","5201","0.014190000","23168","1","5200","0.016220000"
"116","04:54:27.106699","66","1","10.1.1.1","5200","0.014306000","0","124566","5201","0.016336000"
"117","04:54:27.106777","66","1","10.1.1.1","5200","0.014384000","0","126014","5201","0.016414000"
"118","04:54:27.106969","66","1","10.1.1.1","5200","0.014576000","0","128910","5201","0.016606000"
"119","04:54:27.106974","8754","260678","10.1.1.2","5201","0.014581000","8688","1","5200","0.016611000"
"120","04:54:27.107238","66","1","10.1.1.1","5200","0.014845000","0","130358","5201","0.016875000"
"121","04:54:27.107293","66","1","10.1.1.1","5200","0.014900000","0","131806","5201","0.016930000"
"122","04:54:27.107430","66","1","10.1.1.1","5200","0.015037000","0","133254","5201","0.017067000"
"123","04:54:27.107493","66","1","10.1.1.1","5200","0.015100000","0","134702","5201","0.017130000"
"124","04:54:27.107702","66","1","10.1.1.1","5200","0.015309000","0","137598","5201","0.017339000"
"125","04:54:27.107979","66","1","10.1.1.1","5200","0.015586000","0","139046","5201","0.017616000"
"126","04:54:27.107985","23234","269366","10.1.1.2","5201","0.015592000","23168","1","5200","0.017622000"
"127","04:54:27.108065","66","1","10.1.1.1","5200","0.015672000","0","140494","5201","0.017702000"
"128","04:54:27.108171","66","1","10.1.1.1","5200","0.015778000","0","141942","5201","0.017808000"
"129","04:54:27.108233","66","1","10.1.1.1","5200","0.015840000","0","143390","5201","0.017870000"
"130","04:54:27.108237","8754","292534","10.1.1.2","5201","0.015844000","8688","1","5200","0.017874000"
"131","04:54:27.108441","66","1","10.1.1.1","5200","0.016048000","0","146286","5201","0.018078000"
"132","04:54:27.108705","66","1","10.1.1.1","5200","0.016312000","0","147734","5201","0.018342000"
"133","04:54:27.108767","66","1","10.1.1.1","5200","0.016374000","0","149182","5201","0.018404000"
"134","04:54:27.108911","66","1","10.1.1.1","5200","0.016518000","0","150630","5201","0.018548000"
"135","04:54:27.108969","66","1","10.1.1.1","5200","0.016576000","0","152078","5201","0.018606000"
"136","04:54:27.109175","66","1","10.1.1.1","5200","0.016782000","0","154974","5201","0.018812000"
"137","04:54:27.109313","23234","301222","10.1.1.2","5201","0.016920000","23168","1","5200","0.018950000"
"138","04:54:27.109447","66","1","10.1.1.1","5200","0.017054000","0","156422","5201","0.019084000"
"139","04:54:27.109509","66","1","10.1.1.1","5200","0.017116000","0","157870","5201","0.019146000"
"140","04:54:27.109646","66","1","10.1.1.1","5200","0.017253000","0","159318","5201","0.019283000"
"141","04:54:27.109708","66","1","10.1.1.1","5200","0.017315000","0","160766","5201","0.019345000"
"142","04:54:27.109920","66","1","10.1.1.1","5200","0.017527000","0","163662","5201","0.019557000"
"143","04:54:27.110192","66","1","10.1.1.1","5200","0.017799000","0","165110","5201","0.019829000"
"144","04:54:27.110255","66","1","10.1.1.1","5200","0.017862000","0","166558","5201","0.019892000"
"145","04:54:27.110478","66","1","10.1.1.1","5200","0.018085000","0","169454","5201","0.020115000"
"146","04:54:27.110488","29026","324390","10.1.1.2","5201","0.018095000","28960","1","5200","0.020125000"
"147","04:54:27.110669","66","1","10.1.1.1","5200","0.018276000","0","172350","5201","0.020306000"
"148","04:54:27.110983","66","1","10.1.1.1","5200","0.018590000","0","175246","5201","0.020620000"
"149","04:54:27.111186","66","1","10.1.1.1","5200","0.018793000","0","178142","5201","0.020823000"
"150","04:54:27.111409","66","1","10.1.1.1","5200","0.019016000","0","181038","5201","0.021046000"
"151","04:54:27.111724","66","1","10.1.1.1","5200","0.019331000","0","183934","5201","0.021361000"
"152","04:54:27.111944","66","1","10.1.1.1","5200","0.019551000","0","186830","5201","0.021581000"
"153","04:54:27.112180","66","1","10.1.1.1","5200","0.019787000","0","189726","5201","0.021817000"
"154","04:54:27.112467","66","1","10.1.1.1","5200","0.020074000","0","192622","5201","0.022104000"
"155","04:54:27.112670","66","1","10.1.1.1","5200","0.020277000","0","195518","5201","0.022307000"
"156","04:54:27.112884","66","1","10.1.1.1","5200","0.020491000","0","198414","5201","0.022521000"
"157","04:54:27.113207","66","1","10.1.1.1","5200","0.020814000","0","201310","5201","0.022844000"
"158","04:54:27.113421","66","1","10.1.1.1","5200","0.021028000","0","204206","5201","0.023058000"
"159","04:54:27.113644","66","1","10.1.1.1","5200","0.021251000","0","207102","5201","0.023281000"
"160","04:54:27.113896","66","1","10.1.1.1","5200","0.021503000","0","208550","5201","0.023533000"
"161","04:54:27.114092","66","1","10.1.1.1","5200","0.021699000","0","211446","5201","0.023729000"
"162","04:54:27.114365","66","1","10.1.1.1","5200","0.021972000","0","214342","5201","0.024002000"
"163","04:54:27.114659","66","1","10.1.1.1","5200","0.022266000","0","217238","5201","0.024296000"
"164","04:54:27.114915","66","1","10.1.1.1","5200","0.022522000","0","221582","5201","0.024552000"
"165","04:54:27.115154","66","1","10.1.1.1","5200","0.022761000","0","224478","5201","0.024791000"
"166","04:54:27.115369","66","1","10.1.1.1","5200","0.022976000","0","227374","5201","0.025006000"
"167","04:54:27.115617","66","1","10.1.1.1","5200","0.023224000","0","230270","5201","0.025254000"
"168","04:54:27.115894","66","1","10.1.1.1","5200","0.023501000","0","233166","5201","0.025531000"
"169","04:54:27.116116","66","1","10.1.1.1","5200","0.023723000","0","236062","5201","0.025753000"
"170","04:54:27.116352","66","1","10.1.1.1","5200","0.023959000","0","238958","5201","0.025989000"
"171","04:54:27.116620","66","1","10.1.1.1","5200","0.024227000","0","241854","5201","0.026257000"
"172","04:54:27.116851","66","1","10.1.1.1","5200","0.024458000","0","244750","5201","0.026488000"
"173","04:54:27.117092","66","1","10.1.1.1","5200","0.024699000","0","247646","5201","0.026729000"
"174","04:54:27.117357","66","1","10.1.1.1","5200","0.024964000","0","250542","5201","0.026994000"
"175","04:54:27.117580","66","1","10.1.1.1","5200","0.025187000","0","253438","5201","0.027217000"
"176","04:54:27.117825","66","1","10.1.1.1","5200","0.025432000","0","256334","5201","0.027462000"
"177","04:54:27.118092","66","1","10.1.1.1","5200","0.025699000","0","259230","5201","0.027729000"
"178","04:54:27.118316","66","1","10.1.1.1","5200","0.025923000","0","262126","5201","0.027953000"
"179","04:54:27.118323","2962","353350","10.1.1.2","5201","0.025930000","2896","1","5200","0.027960000"
"180","04:54:27.118570","66","1","10.1.1.1","5200","0.026177000","0","265022","5201","0.028207000"
"181","04:54:27.118576","1514","356246","10.1.1.2","5201","0.026183000","1448","1","5200","0.028213000"
"182","04:54:27.118837","66","1","10.1.1.1","5200","0.026444000","0","267918","5201","0.028474000"
"183","04:54:27.119052","66","1","10.1.1.1","5200","0.026659000","0","270814","5201","0.028689000"
"184","04:54:27.119301","66","1","10.1.1.1","5200","0.026908000","0","273710","5201","0.028938000"
"185","04:54:27.119308","8754","357694","10.1.1.2","5201","0.026915000","8688","1","5200","0.028945000"
"186","04:54:27.119576","66","1","10.1.1.1","5200","0.027183000","0","276606","5201","0.029213000"
"187","04:54:27.119793","66","1","10.1.1.1","5200","0.027400000","0","279502","5201","0.029430000"
"188","04:54:27.120049","66","1","10.1.1.1","5200","0.027656000","0","282398","5201","0.029686000"
"189","04:54:27.120056","8754","366382","10.1.1.2","5201","0.027663000","8688","1","5200","0.029693000"
"190","04:54:27.120355","66","1","10.1.1.1","5200","0.027962000","0","285294","5201","0.029992000"
"191","04:54:27.120537","66","1","10.1.1.1","5200","0.028144000","0","288190","5201","0.030174000"
"192","04:54:27.120780","66","1","10.1.1.1","5200","0.028387000","0","291086","5201","0.030417000"
"193","04:54:27.120787","8754","375070","10.1.1.2","5201","0.028394000","8688","1","5200","0.030424000"
"194","04:54:27.120999","66","1","10.1.1.1","5200","0.028606000","0","292534","5201","0.030636000"
"195","04:54:27.121051","66","1","10.1.1.1","5200","0.028658000","0","293982","5201","0.030688000"
"196","04:54:27.121270","66","1","10.1.1.1","5200","0.028877000","0","296878","5201","0.030907000"
"197","04:54:27.121466","66","1","10.1.1.1","5200","0.029073000","0","298326","5201","0.031103000"
"198","04:54:27.121475","8754","383758","10.1.1.2","5201","0.029082000","8688","1","5200","0.031112000"
"199","04:54:27.121529","66","1","10.1.1.1","5200","0.029136000","0","299774","5201","0.031166000"
"200","04:54:27.121727","66","1","10.1.1.1","5200","0.029334000","0","301222","5201","0.031364000"
"201","04:54:27.121780","66","1","10.1.1.1","5200","0.029387000","0","302670","5201","0.031417000"
"202","04:54:27.121981","66","1","10.1.1.1","5200","0.029588000","0","305566","5201","0.031618000"
"203","04:54:27.122186","66","1","10.1.1.1","5200","0.029793000","0","307014","5201","0.031823000"
"204","04:54:27.122192","8754","392446","10.1.1.2","5201","0.029799000","8688","1","5200","0.031829000"
"205","04:54:27.122245","66","1","10.1.1.1","5200","0.029852000","0","308462","5201","0.031882000"
"206","04:54:27.122457","66","1","10.1.1.1","5200","0.030064000","0","309910","5201","0.032094000"
"207","04:54:27.122683","66","1","10.1.1.1","5200","0.030290000","0","312806","5201","0.032320000"
"208","04:54:27.122939","66","1","10.1.1.1","5200","0.030546000","0","315702","5201","0.032576000"
"209","04:54:27.122944","7306","401134","10.1.1.2","5201","0.030551000","7240","1","5200","0.032581000"
"210","04:54:27.123211","66","1","10.1.1.1","5200","0.030818000","0","318598","5201","0.032848000"
"211","04:54:27.123406","66","1","10.1.1.1","5200","0.031013000","0","321494","5201","0.033043000"
"212","04:54:27.123413","5858","408374","10.1.1.2","5201","0.031020000","5792","1","5200","0.033050000"
