0.128 0.09 1.280
6.528 4.04 14.480
12.928 6.97 29.443
19.328 12.68 41.027
25.728 16.86 53.576
32.128 21.51 70.952
38.528 25.5 81.474
44.928 31.05 95.278
51.328 34.88 107.152
57.728 38.92 118.929
64.128 42.65 132.733
70.528 46.98 147.213
76.928 52.32 157.349
83.328 56.1 167.003
89.728 60.29 172.312
96.128 65.24 150.592
102.528 69.33 160.921
108.928 74.02 176.656
115.328 79.11 162.659
121.728 84.02 159.280
128.128 87.24 178.104
134.528 91.57 183.896
140.928 93.95 169.416
147.328 94.04 176.173
153.728 94.13 168.451
160.128 94.09 175.691
166.528 94.07 180.035
172.928 94.16 182.448
179.328 94.07 187.757
185.728 94.23 194.515
192.128 94.14 202.720
198.528 94.14 210.443
204.928 93.97 217.200
211.328 94.32 223.668
217.728 94.09 231.197
224.128 94.25 236.024
230.528 94.11 253.014
236.928 94.32 250.987
243.328 94.11 258.227
249.728 94.54 263.536
256.128 94.3 269.811
262.528 94.33 273.189
268.928 94.2 283.808
275.328 94.02 291.048
281.728 93.97 292.496
288.128 94.16 298.288
294.528 94.23 306.493
300.928 94.18 317.112
307.328 94.44 323.773
313.728 94.49 336.757
320.128 94.59 333.764
326.528 94.23 339.797
332.928 94.27 350.319
339.328 94.2 357.656
345.728 94.49 363.931
352.128 93.99 360.552
358.528 93.94 372.136
364.928 94.07 379.376
371.328 94.04 379.617
377.728 94.4 385.651
384.128 94.46 418.569
390.528 94.32 398.683
396.928 94.2 405.923
403.328 94.3 424.747
409.728 94.18 424.264
416.128 94.28 437.972
422.528 94.04 424.264
428.928 94.42 450.811
435.328 94.25 452.259
441.728 94.06 451.776
448.128 94.51 465.194
454.528 94.06 463.360
460.928 94.16 463.360
467.328 94.18 476.875
473.728 93.97 499.077
480.128 93.99 489.907
486.528 94.25 511.144
492.928 94.35 511.144
499.328 94.07 517.419
505.728 93.93 516.453
512.128 94.07 530.065
