0.128 0.09 1.280
6.528 4.03 14.480
12.928 6.68 27.029
19.328 12.57 43.440
25.728 16.69 54.059
32.128 21.47 68.828
38.528 25.33 80.412
44.928 30.8 95.568
51.328 34.63 108.407
57.728 38.63 119.943
64.128 42.57 137.077
70.528 46.58 147.599
76.928 51.46 160.149
83.328 55.57 173.277
89.728 59.01 183.896
96.128 63.38 198.279
102.528 66.9 208.995
108.928 71.62 221.544
115.328 75.49 233.804
121.728 79.73 249.249
128.128 83.79 261.123
134.528 87.89 273.189
140.928 91.33 286.704
147.328 94.18 298.771
153.728 94.09 312.768
160.128 94.21 324.835
166.528 94.25 338.832
172.928 94.06 350.416
179.328 93.9 362.000
185.728 93.85 377.445
192.128 94.28 388.547
198.528 94.2 403.027
204.928 94.21 414.611
211.328 94.47 426.195
217.728 94.14 440.675
224.128 94.16 451.776
230.528 94.61 466.256
236.928 93.85 478.323
243.328 94.13 492.320
249.728 94.27 505.835
256.128 94.28 515.971
262.528 94.3 528.037
268.928 93.95 540.973
275.328 94.4 556.032
281.728 94.47 566.071
288.128 94.47 579.779
294.528 93.83 593.680
300.928 94.13 610.477
307.328 94.13 618.779
313.728 94.11 632.969
320.128 94.53 646.773
326.528 94.18 660.771
332.928 94.37 667.045
339.328 94.02 682.008
345.728 94.37 694.075
352.128 93.67 707.589
358.528 93.67 718.691
364.928 93.67 733.653
371.328 94.02 745.720
377.728 93.67 756.339
384.128 94.02 770.819
390.528 94.02 783.368
396.928 94.02 796.883
403.328 94.02 811.363
409.728 93.67 820.533
416.128 93.67 835.496
422.528 94.02 846.597
428.928 94.37 861.077
435.328 94.37 872.661
441.728 94.02 887.141
448.128 94.02 899.208
454.528 93.67 909.827
460.928 94.37 924.307
467.328 93.67 935.891
473.728 94.02 951.336
480.128 93.67 963.403
486.528 94.02 974.021
492.928 93.67 988.984
499.328 93.67 1000.085
505.728 93.67 1015.048
512.128 94.02 1026.149
